abandon,porzucić
structure,Struktura
struggle,borykać się
student,student
studio,studio
study,nauka
stuff,rzeczy
stupid,głupi
style,styl
subject,Przedmiot
substance,substancja
substantial,znaczny
substantially,w zasadzie
substitute,zastąpić
succeed,osiągnąć sukces
success,sukces
successful,odnoszący sukcesy
successfully,z powodzeniem
such,taki
suck,ssać
sudden,nagły
suddenly,nagle
suffer,ponieść
suffering,cierpienie
sufficient,wystarczający
sufficiently,dostatecznie
sugar,cukier
suggest,sugerować
suggestion,sugestia
suit,garnitur
suitable,odpowiedni
suitcase,walizka
suited,nadaje się
sum,suma
summary,streszczenie
summer,lato
sum up,podsumować
sun,słońce
Sunday,niedziela
superior,lepszy
supermarket,supermarket
supply,Dostawa
support,wsparcie
supporter,kibic
suppose,przypuszczać
sure,pewnie
surely,pewno
surface,powierzchnia
surname,nazwisko
surprise,niespodzianka
surprised,zaskoczony
surprising,zaskakujący
surprisingly,zaskakująco
surround,otaczać
surrounding,otaczający
surroundings,okolica
survey,Ankieta
survive,przetrwać
suspect,posądzać
suspicion,podejrzenie
suspicious,podejrzany
swallow,Łyk
swear,przysięgać
swearing,przysięga
sweat,pocić się
sweater,sweter
sweep,zamiatać
sweet,Słodkie
swell,puchnąć
swelling,obrzęk
swim,pływać
swimming,pływanie
swimming pool,basen
swing,huśtawka
switch,przełącznik
switch off,wyłączyć
swollen,spuchnięty
symbol,symbol
sympathetic,współczujący
sympathy,współczucie
system,system
table,stół
tablet,tablet
tackle,sprzęt
tail,ogon
take,brać
take away,na wynos
take back,wziąć z powrotem
take down,zdjąć
take in,nabrać kogoś
take off,odlecieć
take on,przybrać
take over,przejąć
take up,zająć
talk,rozmowa
tall,wysoki
tank,czołg
tap,kran
tape,taśma
target,cel
task,zadanie
taste,smak
tax,podatek
taxi,Taxi
tea,herbata
teach,nauczać
teacher,nauczyciel
teaching,nauczanie
team,zespół
tear,łza
tear,rozdarcie
tear up,rozerwać
technical,techniczny
technique,technika
technology,technologia
telephone,telefon
television,telewizja
tell,powiedzieć
tell off,zganić
temperature,temperatura
temporarily,tymczasowo
temporary,chwilowy
ten,dziesięć
tend,zmierzać
tendency,tendencja
tension,napięcie
tent,namiot
tenth,dziesiąty
term,semestr
terrible,straszny
terribly,niemożliwie
test,test
text,tekst
than,niż
thank,podziękować
thanks,dzięki
thank you,Dziękuję Ci
that,że
the,
theatre,teatr
their,ich
theirs,ich
them,im
theme,motyw
themselves,sami
then,następnie
theory,teoria
there,tam
therefore,w związku z tym
they,one
thick,gruby
thickly,mętnie
thickness,grubość
thief,złodziej
thin,cienki
thing,rzecz
think,myśleć
think about,myśleć o
thinking,myślący
think of,myśleć o
think of as,myśleć jak
think over,przemyśleć
think up,wymyślać
third,trzeci
thirsty,spragniony
thirteen,trzynaście
thirteenth,trzynasty
thirtieth,trzydziesty
thirty,trzydzieści
this,to
thorough,dokładny
thoroughly,dokładnie
though,chociaż
thought,myśl
thousand,tysiąc
thousandth,tysięczny
thread,wątek
threat,zagrożenie
threaten,grozić
threatening,groźny
three,trzy
throat,gardło
through,przez
throughout,poprzez
throw,rzucać
throw away,wyrzucić
throw out,wyrzucić
thumb,kciuk
Thursday,czwartek
thus,a zatem
ticket,bilet
tidy,uporządkowane
tie,wiązanie
tie up,narzucać
tight,mocno
tightly,ciasno
till,do
time,czas
timetable,rozkład jazdy
tin,cyna
tiny,malutki
tip,Wskazówka
tip over,przewrócić
tire,opona
tired,zmęczony
tire out,Zmeczyc sie
tiring,męczący
title,tytuł
to,do
today,dzisiaj
toe,palec u nogi
together,razem
toilet,toaleta
tomato,pomidor
tomorrow,jutro
ton,tona
tone,ton
tongue,język
tonight,tej nocy
tonne,tona
too,zbyt
tool,narzędzie
tooth,ząb
top,Top
topic,temat
total,całkowity
totally,całkowicie
touch,dotknąć
tough,twardy
tour,wycieczka
tourist,turystyczny
towards,w kierunku
towel,ręcznik
tower,wieża
town,miasto
toy,zabawka
trace,ślad
track,tor
trade,handel
trading,handlowy
tradition,tradycja
traditional,tradycyjny
traditionally,tradycyjnie
traffic,ruch drogowy
train,pociąg
training,trening
transfer,transfer
transform,przekształcać
translate,Tłumaczyć
translation,tłumaczenie
transparent,przezroczysty
transport,transport
transportation,transport
trap,pułapka
travel,podróżować
traveller,podróżny
treat,leczyć
treatment,leczenie
tree,drzewo
trend,tendencja
trial,próba
triangle,trójkąt
trick,sztuczka
trip,wycieczka
tropical,tropikalny
trouble,kłopot
trousers,spodnie
truck,ciężarówka
TRUE,PRAWDZIWE
truly,naprawdę
trust,zaufanie
truth,prawda
try,próbować
try on,Spróbuj
try out,spróbować
tube,rura
Tuesday,wtorek
tune,melodia
tunnel,tunel
turn,skręcać
turn back,odwrócić się
turn down,Wyłącz
turn into,przemienić się
turn off,wyłączyć
turn on,włączyć
turn out,okazać się
turn over,przewracać
turn round,zawracać
turn to,zabierać się do dzieła
turn up,zjawiać się
TV,telewizja
twelfth,dwunasty
twelve,dwanaście
twentieth,dwudziesty
twenty,dwadzieścia
twice,dwa razy
twin,bliźniak
twist,skręcać
twisted,skręcone
two,dwa
type,rodzaj
typical,typowy
typically,zazwyczaj
tyre,opona
the unemployed,bezrobotni
the unexpected,niespodziewane
ugly,brzydki
ultimate,ostateczny
ultimately,ostatecznie
umbrella,parasol
unable,niezdolny
unacceptable,gorszący
uncertain,niepewny
uncle,wujek
uncomfortable,niewygodny
unconscious,nieprzytomny
uncontrolled,niekontrolowane
under,pod
underground,pod ziemią
underneath,pod spodem
understand,Rozumiesz
understanding,zrozumienie
underwater,Podwodny
underwear,Bielizna
undo,Cofnij
unemployed,bezrobotny
unemployment,bezrobocie
unexpected,niespodziewany
unexpectedly,niespodziewanie
unfair,niesprawiedliwy
unfairly,nieczysto
unfortunate,niefortunny
unfortunately,Niestety
unfriendly,nieprzyjazny
unhappy,nieszczęśliwy
uniform,mundur
unimportant,nieważny
union,unia
unique,wyjątkowy
unit,jednostka
unite,zjednoczyć
united,zjednoczony
universe,wszechświat
university,Uniwersytet
unkind,niedobry
unknown,nieznany
unless,chyba że
unlike,w odróżnieniu
unlikely,nieprawdopodobne
unload,rozładować
unlucky,nieszczęśliwy
unnecessary,niepotrzebne
unpleasant,nieprzyjemny
unreasonable,nierozsądny
unsteady,niepewny
unsuccessful,nieudany
untidy,nieporządny
until,aż do
unusual,niezwykły
unusually,niezwykle
unwilling,niechętny
unwillingly,niechętnie
up,w górę
upon,na
upper,górny
upset,zdenerwowany
upsetting,przykre
upside down,do góry nogami
upstairs,na górę
upward,w górę
upwards,w górę
urban,miejski
urge,popęd
urgent,pilne
us,nas
use,posługiwać się
used,używany
used to,przyzwyczajony
useful,przydatny
useless,nieprzydatny
user,użytkownik
use up,zużyć
usual,zwykły
usually,zazwyczaj
vacation,wakacje
valid,ważny
valley,dolina
valuable,wartościowy
value,wartość
van,awangarda
variation,zmiana
varied,urozmaicony
variety,różnorodność
various,różny
vary,różnią się
vast,ogromny
vegetable,warzywo
vehicle,pojazd
venture,przedsięwzięcie
version,wersja
vertical,pionowy
very,bardzo
via,przez
victim,ofiara
victory,zwycięstwo
video,wideo
view,widok
village,wioska
violence,przemoc
violent,gwałtowny
violently,gwałtownie
virtually,wirtualnie
virus,wirus
visible,widoczny
vision,wizja
visit,odwiedzić
visitor,gość
vital,istotny
vocabulary,słownictwo
voice,głos
volume,Tom
vote,głosować
wage,gaża
waist,talia
wait,czekać
waiter,kelner
wake,budzić
walk,spacerować
walking,pieszy
walk out,wyjść
walk up,podchodzić
wall,Ściana
wallet,portfel
wander,zbłądzić
want,chcieć
war,wojna
warm,ciepły
warmth,ciepło
warm up,rozgrzać się
warn,ostrzec
warning,ostrzeżenie
wash,myć się
wash away,zmyć
washing,mycie
wash off,zmyć
wash out,wypłukać
wash up,zmyć naczynia
waste,marnotrawstwo
watch,zegarek
watch out,Uważaj
watch out for,Uważaj na
water,woda
wave,fala
way,sposób
we,my
weak,słaby
weakness,słabość
wealth,bogactwo
weapon,broń
wear,nosić
wear away,gasnąć
wear off,mijać
wear out,zniszczyć
weather,pogoda
web,sieć
website,stronie internetowej
wedding,ślub
Wednesday,środa
week,tydzień
weekend,weekend
weekly,co tydzień
weigh,ważyć
weight,waga
welcome,Witamy
well,dobrze
well known,dobrze znane
west,Zachód
western,Zachodni
wet,mokro
what,co
whatever,cokolwiek
wheel,koło
when,gdy
whenever,kiedy tylko
where,gdzie
whereas,natomiast
wherever,gdziekolwiek
whether,czy
which,który
while,podczas
whisper,szept
whistle,gwizdać
white,biały
who,kto
whoever,ktokolwiek
whole,cały
whom,kogo
whose,którego
why,dlaczego
wide,szeroki
widely,szeroko
width,szerokość
wife,żona
wild,dziki
wildly,wściekle
will,Wola
willing,skłonny
willingly,chętnie
willingness,chęci
win,zdobyć
wind,wiatr
window,okno
wine,wino
wing,skrzydło
winner,zwycięzca
winning,zwycięski
winter,zimowy
wire,drut
wise,mądry
wish,życzenie
with,z
withdraw,wycofać
within,w ciągu
without,bez
witness,świadek
woman,kobieta
wonder,cud
wonderful,wspaniale
wood,drewno
wooden,z drewna
wool,wełna
word,słowo
work,praca
worker,pracownik
working,pracujący
work out,odrobić
world,świat
worried,zmartwiony
worry,martwić się
worrying,niepokojący
worse,gorzej
worship,kult
worst,najgorszy
worth,wartość
would,by
wound,rana
wounded,ranny
wrap,owinąć
wrapping,zawijanie
wrist,nadgarstek
write,pisać
write back,odpisać
write down,zanotować
writer,pisarz
writing,pisanie
written,napisany
wrong,źle
wrongly,niewłaściwie
yard,dziedziniec
yawn,ziewać
yeah,Tak
year,rok
yellow,żółty
yes,tak
yesterday,wczoraj
yet,jeszcze
you,ty
young,młody
your,Twój
yours,Twój
yourself,siebie
youth,młodość
zero,zero
zone,strefa
